record_id,loan_type,income,credit_score,debt_ratio,default_flag
1,credit_card,30935.18,704.0,0.508,0.0
2,auto,60816.71,725.0,0.449,0.0
3,mortgage,92688.62,696.0,0.292,0.0
4,credit_card,57389.63,706.0,0.43,0.0
5,personal,46255.64,666.0,0.447,0.0
6,auto,87424.72,850.0,,0.0
7,student,,656.0,0.597,0.0
8,credit_card,,678.0,0.515,0.0
9,credit_card,50765.07,535.0,0.432,0.0
10,auto,61608.46,746.0,0.398,0.0
11,auto,66709.11,647.0,0.385,0.0
12,personal,54494.78,676.0,0.462,0.0
13,auto,81081.18,648.0,0.301,0.0
14,mortgage,76168.93,672.0,0.358,0.0
15,auto,58875.89,663.0,0.434,0.0
16,personal,42626.74,677.0,0.507,0.0
17,mortgage,106254.2,677.0,0.123,0.0
18,mortgage,90720.04,671.0,0.334,0.0
19,credit_card,,670.0,0.536,0.0
20,credit_card,53052.77,759.0,0.49,0.0
21,credit_card,,733.0,0.418,0.0
22,personal,50157.02,733.0,0.424,0.0
23,personal,35518.05,636.0,0.558,0.0
24,credit_card,72628.42,755.0,0.296,0.0
25,personal,44113.68,748.0,0.551,0.0
26,auto,62740.44,647.0,0.535,0.0
27,auto,54199.9,771.0,0.46,0.0
28,mortgage,83827.98,639.0,0.378,0.0
29,auto,50327.16,569.0,0.374,0.0
30,credit_card,47280.27,746.0,0.424,0.0
31,mortgage,83509.02,673.0,0.391,0.0
32,auto,89677.61,739.0,0.336,0.0
33,auto,42338.09,635.0,0.466,0.0
34,credit_card,38460.03,604.0,0.5,0.0
35,auto,60183.03,754.0,0.441,0.0
36,auto,73081.9,596.0,0.358,0.0
37,auto,60034.92,586.0,0.415,0.0
38,personal,56111.56,564.0,0.428,0.0
39,student,,,0.504,0.0
40,credit_card,52711.49,,0.457,0.0
41,credit_card,72928.49,550.0,0.464,0.0
42,mortgage,83387.07,678.0,0.425,0.0
43,auto,70034.81,546.0,0.309,0.0
44,auto,67483.13,614.0,,0.0
45,personal,20981.58,820.0,0.581,0.0
46,auto,57932.35,701.0,0.403,0.0
47,credit_card,65573.82,683.0,,0.0
48,student,,583.0,0.445,0.0
49,credit_card,37452.77,665.0,0.47,1.0
50,credit_card,,683.0,0.433,0.0
51,mortgage,89250.52,584.0,0.311,0.0
52,personal,52320.61,688.0,0.412,0.0
53,credit_card,56523.04,751.0,0.366,0.0
54,credit_card,38575.65,659.0,0.506,0.0
55,auto,74477.94,668.0,0.422,0.0
56,auto,52909.89,557.0,0.394,
57,auto,49330.57,596.0,0.475,0.0
58,credit_card,41406.05,743.0,0.385,0.0
59,personal,43846.92,640.0,0.438,0.0
60,credit_card,53312.84,624.0,,0.0
61,credit_card,,638.0,,1.0
62,credit_card,60937.83,677.0,0.383,0.0
63,credit_card,55017.57,610.0,0.504,0.0
64,credit_card,,688.0,0.434,0.0
65,personal,58667.92,598.0,0.378,0.0
66,mortgage,108932.82,726.0,0.282,0.0
67,personal,46815.78,617.0,0.558,0.0
68,mortgage,92420.2,759.0,0.297,0.0
69,mortgage,73714.74,679.0,0.409,0.0
70,credit_card,47109.85,629.0,0.527,0.0
71,mortgage,91501.92,735.0,0.328,0.0
72,personal,50944.55,598.0,0.433,0.0
73,credit_card,49978.88,647.0,0.406,0.0
74,personal,50928.32,680.0,0.376,0.0
75,mortgage,113409.08,673.0,0.294,0.0
76,credit_card,,559.0,0.474,0.0
77,credit_card,46108.33,625.0,0.53,0.0
78,mortgage,79290.02,690.0,0.402,0.0
79,mortgage,94896.07,601.0,0.269,0.0
80,credit_card,63721.76,756.0,0.345,0.0
81,auto,43987.16,710.0,0.491,0.0
82,credit_card,,649.0,0.438,0.0
83,credit_card,52431.29,667.0,0.461,0.0
84,auto,75201.23,792.0,0.329,0.0
85,student,34594.44,736.0,0.458,0.0
86,personal,51905.56,703.0,,0.0
87,auto,62308.25,595.0,0.456,0.0
88,mortgage,100782.49,778.0,0.296,0.0
89,auto,77171.65,743.0,0.418,0.0
90,auto,44492.1,671.0,0.407,0.0
91,personal,56742.42,647.0,0.375,0.0
92,student,28814.88,669.0,0.516,0.0
93,auto,58640.13,608.0,0.529,0.0
94,personal,18683.09,652.0,0.588,1.0
95,credit_card,35435.78,726.0,0.445,0.0
96,credit_card,72376.71,572.0,0.372,1.0
97,mortgage,86737.42,661.0,0.339,1.0
98,auto,51982.77,687.0,0.415,0.0
99,mortgage,89522.89,686.0,0.349,0.0
100,auto,56058.23,609.0,0.422,0.0
101,credit_card,,609.0,0.423,0.0
102,credit_card,,745.0,0.446,0.0
103,mortgage,87960.61,,0.238,0.0
104,mortgage,96851.48,741.0,0.246,0.0
105,auto,51233.15,651.0,0.405,0.0
106,credit_card,70242.0,745.0,0.34,0.0
