record_id,line_id,machine_id,shift,temperature_c,thickness_mm,weight_g,vibration_rms_mm_s,pressure_psi,humidity_pct,defect_flag,failure_flag
1,L2,M4,Evening,71.22,1.0419,583.15,1.574,132.11,46.66,0.0,0.0
2,L4,M10,Day,76.38,0.9906,582.66,1.878,125.05,45.95,0.0,0.0
3,L3,M6,Day,69.71,0.9667,577.48,1.756,111.81,48.55,0.0,0.0
4,L3,M6,Night,71.59,0.9913,579.45,1.925,134.83,42.82,0.0,0.0
5,L1,M2,Evening,69.51,1.0227,586.51,2.023,129.77,47.57,0.0,0.0
6,L1,M1,Day,70.5,0.9723,575.21,2.212,124.66,43.7,0.0,0.0
7,L1,M2,Day,72.01,1.0261,582.57,1.972,118.19,48.69,0.0,0.0
8,L4,M9,Evening,74.62,1.0607,582.54,2.195,112.32,48.08,0.0,0.0
9,L3,M8,Day,68.87,0.9924,577.22,2.026,117.02,40.32,0.0,0.0
10,L3,M8,Day,71.56,1.0363,581.36,1.21,128.71,50.43,0.0,0.0
11,L1,M1,Evening,70.83,0.9768,579.25,1.624,135.08,42.32,0.0,1.0
12,L4,M10,Evening,74.14,0.9827,576.22,1.942,132.35,49.04,0.0,0.0
13,L4,M10,Evening,74.8,0.9666,583.61,1.516,116.09,46.84,0.0,0.0
14,L1,M1,Day,73.29,1.0449,579.12,2.24,111.04,54.19,0.0,0.0
15,L1,M1,Evening,75.28,1.0196,580.64,2.612,121.13,43.88,0.0,0.0
16,L1,M3,Day,69.19,0.9983,577.67,2.488,105.85,43.25,0.0,0.0
17,L2,M5,Day,70.16,1.0584,591.91,1.915,122.59,44.9,0.0,0.0
18,L3,M6,Evening,74.69,0.9462,576.68,2.596,118.82,43.48,,0.0
19,L2,M4,Evening,76.33,1.1234,595.03,2.059,116.27,49.0,0.0,0.0
20,L2,M5,Night,70.63,1.0539,576.88,1.865,107.24,36.92,0.0,0.0
21,L3,M7,Evening,75.38,0.9833,580.0,1.755,124.11,,0.0,0.0
22,L1,M3,Evening,,1.0218,586.19,1.879,115.74,39.66,0.0,1.0
23,L2,M5,Day,76.95,1.0644,585.57,1.845,110.64,49.75,0.0,0.0
24,L2,M5,Day,74.17,1.0567,589.86,2.068,97.02,53.55,0.0,1.0
25,L2,M4,Day,79.15,1.0263,579.52,2.064,119.78,44.48,0.0,
26,L4,M10,Day,77.39,1.0341,589.78,2.001,134.18,44.16,,0.0
27,L1,M3,Night,69.88,1.0565,596.01,2.175,133.29,45.35,0.0,0.0
28,L3,M6,Day,72.43,1.0204,579.81,2.476,116.34,50.81,0.0,0.0
29,L3,M6,Night,70.11,1.0278,580.0,2.38,115.18,40.36,0.0,1.0
30,L1,M3,Evening,76.92,0.9847,586.04,1.406,123.75,46.19,0.0,0.0
31,L3,M6,Night,66.09,0.9503,583.92,0.978,112.01,49.88,0.0,0.0
32,L1,M3,Evening,75.22,0.9962,577.08,2.374,122.41,47.51,0.0,0.0
33,L1,M1,Evening,76.15,1.0017,578.03,1.453,126.13,45.95,0.0,0.0
34,L4,M10,Evening,70.1,1.0528,582.82,1.91,129.82,50.01,0.0,0.0
35,L4,M9,Day,70.04,0.9692,570.82,1.532,119.2,31.48,0.0,0.0
36,L4,M9,Evening,69.4,1.0659,580.68,1.279,118.37,48.39,0.0,0.0
37,L2,M5,Day,73.33,,578.6,2.217,112.98,41.73,0.0,0.0
38,L1,M1,Day,73.79,0.9872,575.14,2.304,113.38,35.85,0.0,0.0
39,L3,M8,Evening,75.26,0.9496,575.8,1.769,118.19,47.56,0.0,0.0
40,L2,M4,Day,74.19,,581.2,0.964,122.94,51.87,0.0,0.0
41,L1,M1,Night,74.57,1.0247,589.73,1.782,127.31,44.31,0.0,0.0
42,L2,M5,Night,69.05,1.0522,579.18,2.157,113.57,,0.0,0.0
43,L1,M2,Night,66.24,0.9613,581.83,1.408,131.94,53.06,0.0,0.0
44,L4,M9,Day,72.86,0.9811,577.42,2.073,117.83,51.57,0.0,0.0
45,L2,M5,Day,74.96,1.0399,582.95,1.994,119.83,53.2,0.0,0.0
46,L3,M8,Night,68.42,1.0301,585.78,2.232,114.02,48.71,0.0,0.0
47,L2,M5,Evening,70.33,,577.76,2.048,100.61,45.38,0.0,0.0
48,L3,M6,Night,68.28,0.9349,576.7,1.611,127.07,36.99,0.0,0.0
49,L3,M8,Night,65.24,0.9726,578.64,2.479,125.89,43.77,0.0,0.0
50,L1,M3,Night,72.17,0.9918,581.81,1.937,117.75,40.78,0.0,0.0
51,L4,M9,Day,73.92,0.9391,576.57,1.989,120.54,55.85,0.0,0.0
52,L4,M9,Day,70.65,1.0184,593.75,1.627,124.13,44.12,0.0,0.0
53,L4,M9,Night,70.22,1.0131,577.86,1.823,107.5,,0.0,0.0
54,L4,M10,Day,70.35,1.0409,580.62,1.646,115.77,47.76,0.0,0.0
55,L3,M8,Day,69.84,1.0355,579.72,1.931,126.35,45.22,0.0,0.0
56,L4,M10,Evening,76.89,1.0538,581.53,2.685,109.97,53.48,0.0,0.0
57,L1,M1,Night,68.04,0.9919,,1.451,122.35,41.89,0.0,1.0
