Customer_ID,Age,Income,Segment,Campaign_A,Campaign_B,Clicks,Purchases,Revenue,Engagement_Score
1,28,55000,A,1,0,5,1,150,0.85
2,34,72000,B,0,1,10,1,200,0.90
3,45,48000,A,1,1,3,0,0,0.50
4,23,32000,C,1,0,8,1,120,0.70
5,32,60000,B,0,1,15,2,300,0.95
6,29,55000,A,1,1,0,0,0,0.60
7,40,,B,1,0,12,1,250,0.80
8,38,75000,,0,1,20,3,500,0.88
9,26,45000,C,1,0,5,1,180,0.75
10,31,67000,A,1,1,9,2,350,0.92
11,44,,B,0,1,6,1,100,0.65
12,22,31000,C,,0,7,0,0,0.55
13,36,58000,A,1,1,11,1,220,0.78
14,30,62000,B,0,1,14,2,400,0.85
15,27,50000,,1,0,4,1,130,0.60
16,39,72000,C,1,1,10,1,250,0.90
17,21,29000,A,1,0,3,0,0,0.40
18,33,70000,B,0,1,5,1,150,0.70
19,48,80000,C,1,0,12,2,600,0.95
20,35,64000,A,1,1,8,1,180,0.82
21,29,55000,A,1,0,5,1,150,0.85
22,34,72000,B,0,1,10,1,200,0.90
23,45,48000,A,1,1,3,0,0,0.50
24,23,32000,C,1,0,8,1,120,0.70
25,32,60000,B,0,1,15,2,300,0.95
26,29,55000,A,1,1,0,0,0,0.60
27,40,68000,B,1,0,12,1,250,0.80
28,38,75000,A,0,1,20,3,500,0.88
29,26,45000,C,1,0,5,1,180,0.75
30,31,67000,B,1,1,9,2,350,0.92
31,44,72000,A,0,1,6,1,100,0.65
32,22,31000,C,1,0,7,0,0,0.55
33,36,58000,A,1,1,11,1,220,0.78
34,30,,B,0,1,14,2,400,0.85
35,27,50000,C,1,0,4,1,130,0.60
36,39,72000,A,1,1,10,1,250,0.90
37,21,29000,B,1,0,3,0,0,0.40
38,33,70000,C,0,1,5,1,150,0.70
39,48,80000,A,1,0,12,2,600,0.95
40,35,64000,B,1,1,8,1,180,0.82
41,30,52000,A,1,1,9,1,190,0.79
42,41,72000,C,0,1,10,2,300,0.88
43,25,47000,B,1,0,11,1,200,0.75
44,29,61000,A,1,1,7,2,250,0.85
45,32,48000,C,0,1,8,0,0,0.50
46,38,75000,B,1,0,15,3,400,0.90
47,22,31000,A,1,1,5,1,120,0.70
48,36,59000,C,0,1,14,2,300,0.92
49,45,67000,A,1,0,12,1,250,0.80
50,34,72000,B,1,1,6,1,100,0.65
51,28,,C,1,0,7,1,140,0.77
52,39,70000,A,0,1,10,1,200,0.85
53,24,48000,B,1,1,9,2,300,0.90
54,30,55000,C,1,0,8,1,180,0.70
55,33,60000,A,0,1,12,1,220,0.88
56,40,75000,B,1,1,14,3,500,0.95
57,45,60000,C,0,1,11,1,210,0.75
58,29,55000,A,1,0,5,1,150,0.82
59,31,65000,B,1,1,13,2,400,0.80
60,35,72000,C,1,0,6,1,180,0.70
61,38,48000,A,1,1,10,1,220,0.90
62,22,31000,B,,0,8,0,0,0.50
63,36,59000,C,1,1,5,1,150,0.65
64,27,64000,A,0,1,10,2,300,0.85
65,30,52000,B,1,0,14,1,200,0.78
66,39,70000,C,1,1,12,1,250,0.88
67,25,57000,A,0,1,9,2,220,0.75
68,41,72000,B,1,0,8,1,170,0.80
69,29,,C,,1,10,0,0,0.55
70,36,59000,A,1,1,11,1,210,0.85
71,34,72000,B,0,1,7,1,180,0.70
72,22,31000,C,1,0,5,0,0,0.50
73,30,65000,A,1,1,13,2,350,0.90
74,38,72000,B,0,1,20,3,500,0.88
75,26,45000,C,1,0,3,1,150,0.75
76,31,67000,A,1,1,9,2,300,0.80
77,44,80000,B,0,1,6,1,100,0.65
78,40,68000,C,1,0,12,1,250,0.82
79,21,29000,A,1,0,3,0,0,0.40
80,33,70000,B,0,1,5,1,150,0.70
81,48,80000,C,1,0,12,2,600,0.95
82,35,64000,A,1,1,8,1,180,0.82
83,30,52000,B,1,1,9,1,190,0.79
84,41,72000,C,0,1,10,2,300,0.88
85,25,47000,A,1,0,11,1,200,0.75
86,29,61000,B,1,1,7,2,250,0.85
87,32,48000,C,0,1,8,0,0,0.50
88,38,75000,A,1,0,15,3,400,0.90
89,22,31000,B,1,1,5,1,120,0.70
90,36,59000,C,0,1,14,2,300,0.92
91,45,67000,A,1,0,12,1,250,0.80
92,34,72000,B,1,1,6,1,100,0.65
93,28,,C,1,0,7,1,140,0.77
94,39,70000,A,0,1,10,1,200,0.85
95,24,48000,B,1,1,9,2,300,0.90
96,30,55000,C,1,0,8,1,180,0.70
97,33,60000,A,0,1,12,1,220,0.88
98,40,75000,B,1,1,14,3,500,0.95
99,45,60000,C,0,1,11,1,210,0.75
100,29,55000,A,1,0,5,1,150,0.82
101,31,65000,B,1,1,13,2,400,0.80
102,35,72000,C,1,0,6,1,180,0.70
103,38,48000,A,1,1,10,1,220,0.90
104,22,31000,B,,0,8,0,0,0.50
105,36,59000,C,1,1,5,1,150,0.65
106,27,64000,A,0,1,10,2,300,0.85
107,30,52000,B,1,0,14,1,200,0.78
108,39,70000,C,1,1,12,1,250,0.88
109,25,57000,A,0,1,9,2,220,0.75
110,41,72000,B,1,0,8,1,170,0.80
