StudentID,Age,Gender,SchoolType,YearInSchool,InterventionGroup,StressLevel,SleepHours,StudyHoursPerWeek,GPA,AcademicSelfEfficacy,SocialSupport,LifeSatisfaction,Motivation,AnxietySymptoms,ExerciseFrequency,FinancialStress,Employment
S0001,19,Male,Public University,Freshman,Control,5.72,7.2,15.3,3.12,4,4,3,3,3,2,Moderate,Part-time
S0002,20,Female,Public University,Sophomore,Mindfulness,4.23,8.1,12.7,3.28,4,5,4,4,2,3,Low,Not employed
S0003,18,Male,Private University,Freshman,Study Skills,4.89,7.8,18.4,3.45,4,4,4,4,2,1,Moderate,Part-time
S0004,21,Female,Community College,Junior,Control,6.34,6.5,11.2,2.87,3,3,3,3,3,2,High,Full-time
S0005,19,Female,Public University,Sophomore,Mindfulness,3.87,8.4,16.8,3.52,5,5,4,4,2,4,Low,Part-time
S0006,20,Male,Public University,Sophomore,Study Skills,5.12,7.6,14.9,3.21,4,4,3,3,3,2,Moderate,Not employed
S0007,22,Female,Private University,Senior,Control,7.21,5.8,9.4,2.64,2,2,2,2,4,1,Very High,Full-time
S0008,18,Female,Public University,Freshman,Mindfulness,4.56,7.9,13.5,3.18,4,4,4,3,2,3,Moderate,Part-time
S0009,19,Male,Community College,Sophomore,Control,5.89,6.9,10.8,2.94,3,3,3,3,3,2,High,Part-time
S0010,20,Female,Public University,Junior,Study Skills,4.34,8.2,19.2,3.58,5,4,4,4,2,3,Low,Not employed
S0011,21,Male,Public University,Senior,Mindfulness,4.67,7.7,15.6,3.34,4,4,4,4,2,2,Moderate,Part-time
S0012,18,Female,Private University,Freshman,Control,6.12,6.7,12.3,3.04,3,3,3,3,3,1,Moderate,Not employed
S0013,22,Female,Public University,Graduate,Study Skills,5.23,7.4,21.5,3.48,4,4,3,4,3,4,Moderate,Part-time
S0014,19,Male,Community College,Sophomore,Control,5.78,7.1,14.1,3.15,3,3,3,3,3,2,High,Part-time
S0015,20,Female,Public University,Junior,Mindfulness,4.12,8.3,16.4,3.42,4,5,4,4,2,3,Low,Not employed
S0016,21,Male,Private University,Senior,Study Skills,4.89,7.8,18.7,3.51,4,4,4,4,2,2,Moderate,Part-time
S0017,18,Female,Public University,Freshman,Control,6.45,6.4,10.9,2.89,3,3,2,3,4,1,High,Not employed
S0018,19,Male,Public University,Sophomore,Mindfulness,4.34,8.1,14.8,3.29,4,4,4,4,2,3,Low,Part-time
S0019,23,Female,Community College,Senior,Control,7.56,5.5,8.6,2.53,2,2,2,2,4,1,Very High,Full-time
S0020,20,Male,Public University,Junior,Study Skills,5.01,7.7,17.3,3.38,4,4,3,4,3,2,Moderate,Not employed
S0021,18,Female,Private University,Freshman,Mindfulness,4.23,8.0,13.9,3.24,4,4,4,3,2,3,Low,Not employed
S0022,21,Male,Public University,Senior,Control,6.78,6.2,11.5,2.92,3,3,2,3,4,2,High,Part-time
S0023,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.8,3.44,4,4,4,4,2,3,Moderate,Part-time
S0024,20,Male,Community College,Junior,Mindfulness,4.89,7.6,14.2,3.17,4,4,3,3,3,2,Moderate,Full-time
S0025,22,Female,Public University,Graduate,Control,6.23,6.6,12.8,3.02,3,3,3,3,3,2,High,Part-time
S0026,18,Male,Public University,Freshman,Study Skills,4.56,8.1,18.1,3.47,4,4,4,4,2,3,Low,Not employed
S0027,19,Female,Private University,Sophomore,Mindfulness,4.01,8.4,15.3,3.36,4,5,4,4,2,4,Low,Part-time
S0028,21,Male,Public University,Senior,Control,6.89,6.0,10.2,2.78,2,3,2,2,4,1,Very High,Full-time
S0029,20,Female,Community College,Junior,Study Skills,5.12,7.5,16.9,3.35,4,4,3,4,3,2,Moderate,Part-time
S0030,18,Male,Public University,Freshman,Mindfulness,4.45,8.0,13.6,3.21,4,4,4,3,2,3,Moderate,Not employed
S0031,22,Female,Public University,Graduate,Control,5.67,7.2,14.7,3.18,3,3,3,3,3,2,Moderate,Part-time
S0032,19,Male,Private University,Sophomore,Study Skills,4.78,7.8,17.5,3.43,4,4,4,4,2,2,Low,Not employed
S0033,20,Female,Public University,Junior,Mindfulness,4.23,8.2,15.8,3.39,4,4,4,4,2,3,Low,Part-time
S0034,21,Male,Community College,Senior,Control,6.34,6.5,11.8,2.93,3,3,3,3,3,2,High,Full-time
S0035,18,Female,Public University,Freshman,Study Skills,4.89,7.7,18.3,3.46,4,4,4,4,2,3,Moderate,Not employed
