customer_id,region,device,membership_level,gender,campaign_source,premium_flag,monthly_spend_equal,monthly_spend_unequal,session_duration_equal,session_duration_unequal,satisfaction_equal,satisfaction_unequal,loyalty_index,high_refund_flag,chargeback_flag,high_loyalty_flag
1,NA,mobile,free,female,email,0,38.367514089038785,31.272173997841357,10.059334931941207,12.565644433162888,65.01165579675782,62.985322120628126,,0,0.0,0
2,EU,mobile,standard,female,organic,0,77.33632259175299,80.30290089649232,5.672907518331213,16.66289371132914,74.15903913437104,,,0,0.0,0
3,APAC,mobile,standard,male,email,0,75.13994994532852,91.77464808337055,7.745263949735417,13.805542975196786,84.02150055051088,,,0,0.0,0
4,NA,mobile,premium,female,organic,1,116.03392524861059,137.41441157574428,9.543958615516889,15.23886858570501,92.0468149805424,,82.98729539584593,0,0.0,1
5,EU,tablet,premium,male,organic,1,113.53285842871544,173.6985933559821,12.116079325704469,0.3363939100709725,82.47226941323417,80.96289745799261,72.96663169725454,0,0.0,1
6,APAC,desktop,standard,male,ads,0,62.611201706261184,64.3086825050331,9.72151667521188,10.750414690998324,86.7836941547255,,62.221815905295955,0,0.0,0
7,NA,desktop,standard,female,organic,0,66.95904853031409,91.6193367980128,12.997601082959605,10.590800029626283,80.94146185823948,79.44985506662825,64.30003356473897,0,,0
8,APAC,desktop,standard,female,organic,0,73.53803226759835,91.93645557810493,13.031784244804053,12.782618715810585,66.54920071661438,75.42167951185611,48.643208286589925,0,0.0,0
9,EU,mobile,free,male,ads,0,31.503305249685273,30.25451965013162,6.962984242338829,6.380381037118033,71.30930378735958,,49.67991243543158,1,0.0,0
10,APAC,mobile,,female,email,0,41.74767894601276,51.544262006757265,,11.020081930238835,73.25417580687491,68.36279281188638,46.54698848652047,0,0.0,0
11,NA,mobile,standard,male,organic,0,87.34144056071642,69.27398087519244,6.122207923578722,11.238584672369022,85.034005888722,75.95771737202557,65.24647715638486,0,0.0,1
12,NA,mobile,free,male,ads,0,32.37721239680795,35.963759837684435,6.3713941180301,-4.686234946653297,58.99472043147736,89.82162385296554,33.404286577681745,0,0.0,0
13,NA,desktop,standard,female,ads,0,81.607267069402,69.56466291840931,11.761687229183442,12.223315130898788,78.91786264880348,61.394204867524216,70.36736388601088,0,0.0,1
14,APAC,desktop,,male,organic,0,59.06628259355314,82.79826421712178,13.434795089395713,11.927110631539723,94.43025235206343,,70.19558271803096,0,,1
15,NA,desktop,free,female,organic,0,45.8494838586874,45.707420342433785,12.904775373244828,11.412948376467378,71.34316918543178,65.11120279523008,,0,0.0,0
16,EU,tablet,free,male,organic,0,23.49782234042363,49.2106522703801,14.633904099866545,7.796823380748664,69.87307600972763,55.166297551182325,,0,0.0,0
17,,desktop,free,male,organic,0,25.578011910957883,31.164576890257138,17.502112916672125,11.708871068234533,53.62189772428334,,38.05501488076111,0,0.0,0
18,NA,desktop,free,female,ads,0,46.805046883907,28.16033563777163,14.52958603528972,13.640068446161068,75.61115299883336,58.28801560559182,43.40587019765856,0,0.0,0
19,EU,mobile,premium,male,ads,1,126.34449239570827,141.58807524164578,9.96291595489919,4.2054424872566365,79.39878090895144,60.80644224258145,82.7485462743752,0,0.0,1
20,,mobile,standard,female,ads,0,76.13593903529389,,11.258366193542564,4.29687284234811,75.65272922288081,,,0,0.0,1
21,NA,tablet,,male,organic,0,45.2415034387152,,13.68598993434732,12.557389554905187,67.12048788917083,59.76631146275754,48.30119403838638,0,0.0,0
22,NA,mobile,premium,male,organic,1,121.86318059644755,78.0868538792466,5.980238980414603,7.354216182057035,77.55140770938871,85.52739437550247,,0,0.0,1
23,NA,tablet,,male,ads,0,49.84989600315981,54.06084831203256,5.717630915338024,2.097714086489413,63.9250842441092,,45.70286081282151,1,,0
24,EU,desktop,standard,male,organic,0,70.83928017737955,64.58087808498894,12.947269879167843,15.560625769104734,59.9523208959433,73.01204382133815,48.17071495849465,0,0.0,0
25,NA,desktop,,female,email,0,74.13981206743186,55.825035085899636,11.241855299548996,11.764136591821227,76.35754609024141,81.03744719841403,61.81690641513256,0,,0
